1.000	6390.90644600
1.050	6386.53240600
1.100	6380.64129200
1.150	6373.08737400
1.200	6363.41314200
1.250	6350.89742600
1.300	6336.54546400
1.350	6319.02161600
1.400	6297.09863400
1.450	6272.78635800
1.500	6243.56093600
1.550	6209.54592000
1.600	6170.36137200
1.650	6125.45332000
1.700	6074.06873000
1.750	6015.76689800
1.800	5949.72436400
1.850	5874.89195400
1.900	5790.50701600
1.950	5694.11261200
2.000	5585.57281200
2.050	5461.09810600
2.100	5318.75659600
2.150	5151.08645400
2.200	4948.01905000
2.250	4690.02978800
2.300	4377.29211000
2.350	4087.42960000
2.400	3865.37499400
2.450	3689.71085800
2.500	3539.60795000
2.550	3408.80675200
2.600	3290.50686600
2.650	3182.31588000
2.700	3083.17746600
2.750	2991.53409800
2.800	2906.43765400
2.850	2826.51462200
2.900	2751.59549800
2.950	2681.37786800
3.000	2615.48371400
3.050	2552.85021000
3.100	2493.91318200
3.150	2437.78641200
3.200	2384.15541000
3.250	2334.03511000
3.300	2285.47694800
3.350	2239.02992200
3.400	2194.97161600
3.450	2152.60509400
3.500	2112.34416400
