1.000	2931.97539055
1.050	3408.63246906
1.100	3571.60774410
1.150	5163.68024027
1.200	5385.50398350
1.250	28937.60004199
1.300	16693.86466479
1.350	35416.61333644
1.400	41689.49371469
1.450	12207.18027759
1.500	15698.94343567
1.550	17114.87465715
1.600	19289.40948212
1.650	24908.44376314
1.700	28423.63312411
1.750	62990.92181706
1.800	40011.99847364
1.850	46370.83455932
1.900	56225.54555082
1.950	66865.24926293
2.000	79637.78091633
2.050	100665.87827450
2.100	111963.23404557
2.150	138151.45501298
2.200	178632.32249308
2.250	245782.71566361
2.300	291129.93151069
2.350	199707.50123671
2.400	165907.94091076
2.450	150789.22427875
2.500	138288.38441139
2.550	128880.04582262
2.600	121948.71588659
2.650	116439.43901488
2.700	111053.32061103
2.750	107152.01547006
2.800	103149.06838828
2.850	100606.55308835
2.900	97649.05297031
2.950	95225.12536658
3.000	92599.79956825
3.050	90389.00987191
3.100	88553.25371149
3.150	86785.97052956
3.200	85132.95427147
3.250	83742.98332126
3.300	82533.98426679
3.350	81112.08796057
3.400	79787.69925439
3.450	78908.00027046
3.500	77672.60460503
