1.000	0.99912658
1.050	0.99864268
1.100	0.99816246
1.150	0.99702767
1.200	0.99643195
1.250	0.97681928
1.300	0.98794769
1.350	0.96832512
1.400	0.96543242
1.450	0.98877118
1.500	0.98580960
1.550	0.98290250
1.600	0.97956220
1.650	0.97486375
1.700	0.96982332
1.750	0.94315289
1.800	0.95639337
1.850	0.94827213
1.900	0.93761556
1.950	0.92550907
2.000	0.91006934
2.050	0.88793578
2.100	0.86835567
2.150	0.83517987
2.200	0.78496878
2.250	0.68417722
2.300	0.38982554
2.350	0.19357220
2.400	0.12567063
2.450	0.09771062
2.500	0.07836018
2.550	0.06741927
2.600	0.05939467
2.650	0.05402588
2.700	0.04848768
2.750	0.04523074
2.800	0.04205970
2.850	0.03959506
2.900	0.03736306
2.950	0.03561001
3.000	0.03395904
3.050	0.03248081
3.100	0.03135126
3.150	0.03023862
3.200	0.02912247
3.250	0.02820522
3.300	0.02735156
3.350	0.02657815
3.400	0.02588087
3.450	0.02525575
3.500	0.02472549
